SubjectID,SubjectName,Credit
80203901,Man and Society,3
80203902,National Heritage and Civilization,3
80203903,"Social, Economic and Political Dimensions",3
80203904,Law for Everyday Life,3
80203905,Economics for Everyday Life,3
80203906,Economics for Life Development,3
80203907,Business for Everyday Life,3
80303103,Psychology for Happy Life,3
80303301,Art Appreciation,3
80303601,Human Relations,3
80303609,Healthy Life,3
80303610,Recreation for Life,3
80103001,English I,3
80103002,English II,3
80103011,English Study Skills,3
80103016,English Conversation I,3
80103017,English Conversation II,3
80103018,English for Work,3
80303501,Basketball,1
80303502,Volleyball,1
80303503,Badminton,1
80303504,Dancing,1
80303505,Table Tennis,1
80303506,Taekwondo,1
80303507,Football,1
80303508,Sepak-Takraw,1
80303509,Pétanque,1
80303510,Taiji / Taikek,1
40203100,General Mathematics,3
40413001,Biology in Daily Life,3
40423001,Environment and Energy,3
40433001,"Food, Health and Quality of Life",3
40433002,Food in Daily Life,3
40503001,Statistics in Everyday Life,3
10113010,Electric Circuit Theory,3
10113011,Electric Circuit Laboratory,1
10113941,Project I,3
10113942,Project II,3
10123124,Computer Engineering Seminar,2
10123130,Computer Engineering Exploration,1
10123131,Software Development Practice I,3
10123132,Software Development Practice II,3
10403005,Introduction to Engineering,1
10403006,Work Ethics,1
40203111,Engineering Mathematics I,3
40203112,Engineering Mathematics II,3
40313005,Physics I,3
40313006,Physics Laboratory I,1
40313007,Physics II,3
40313008,Physics Laboratory II,1
10123102,Programming Fundamentals,3
10123103,Algorithms and Data Structures,3
10123105,Statistics for Computer Engineers,3
10123106,Introduction to Signals and Systems,3
10123107,Logic Design of Digital Systems,3
10123108,Digital System Design Laboratory,1
10123114,Analog and Digital Electronics,3
10123115,Analog and Digital Electronics Laboratory,1
10123116,Software Engineering,3
10123117,Operating Systems,3
10123119,Embedded System Design,3
10123120,Embedded System Design Laboratory,1
10123121,Database Systems,3
10123126,Computer Networks I,3
10123127,Computer Networks II,3
10123128,Computer Networks Laboratory,1
10123129,Ubiquitous Computing,3
10123133,Discrete Mathematics,3
10123134,Computer Organization,3
10123201,Numerical Methods for Computer Engineers,3
10123203,Analysis and Design of Algorithms,3
10123204,Introduction to Control Engineering,3
10123205,Computer and Network Security,3
10123206,Digital Communication and Signal Processing,3
10123208,Introduction to Programming Language and Compiler,3
10123210,Image Processing and Machine Vision,3
10123211,Simulation and Modeling,3
10123212,Parallel and Distributed Computing,3
10123213,Artificial Intelligence,3
10123214,Knowledge Discovery and Data Mining,3
10123215,Fundamentals of Bioinformatics,3
10123217,Selected Topics in Computer Engineering I,3
10123218,Selected Topics in Computer Engineering II,3
10123219,Selected Topics in Computer Engineering III,3
10123220,Wireless Networks,3
10123221,Software Testing and Quality Assurance,3
10123222,Computer-Human Interactions,3
10123223,Web Services and SOA,3
10123224,Real Time Operation Systems,3
10123225,High Level Design for Digital Systems,3
40313016,Physics in Daily Life,3
80103034,English Conversation,3
